Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Coleura,,afra,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethiere","p. 51","African Sheath-tailed Bat"
Emballonuridae,Saccolaimus,,peli,Temminck,1853,1,"Esquisses Zool. sur la C&ocirc;te de Guin&eacute;","p. 82","Pel's Pouched Bat"
Emballonuridae,Taphozous,,mauritianus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 127","Mauritian Tomb Bat"
Emballonuridae,Taphozous,,nudiventris,Cretzschmar,1830,0,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","p. 70","Naked-rumped Tomb Bat"
Emballonuridae,Taphozous,,perforatus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 126","Egyptian Tomb Bat"
Hipposideridae,Doryrhina,,cyclops,Temminck,1853,1,"Esquisses Zool. sur la C&ocirc;te de Guine","p. 75","Cyclops Roundleaf Bat"
Hipposideridae,Hipposideros,,abae,"J. A. Allen",1917,0,"Bull. Am. Mus. Nat. Hist.","37: 432","Aba Roundleaf Bat"
Hipposideridae,Hipposideros,,beatus,"K. Andersen",1906,0,"Ann. Mag. Nat. Hist.","ser. 7, 17: 279","Benito Roundleaf Bat"
Hipposideridae,Hipposideros,,caffer,Sundevall,1846,1,"&Ouml;fv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Sundevall's Roundleaf Bat"
Hipposideridae,Hipposideros,,fuliginosus,Temminck,1853,1,"Esquisses Zool. sur la C&ocirc;te de Guine","p. 77","Sooty Roundleaf Bat"
Hipposideridae,Hipposideros,,jonesi,Hayman,1947,0,"Ann. Mag. Nat. Hist.","ser. 11, 14: 71","Jones' Roundleaf Bat"
Hipposideridae,Hipposideros,,ruber,Noack,1893,1,"Zool. Jahrb. Abt. Syst. Oekol. Geogr. Tiere","7: 586","Noack's Roundleaf Bat"
Hipposideridae,Macronycteris,,gigas,Wagner,1845,1,"Arch. Naturgesch.","11(1): 148","Giant Roundleaf Bat"
Megadermatidae,Lavia,,frons,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 192","Yellow-winged Bat"
Miniopteridae,Miniopterus,,nimbae,"Monadjem, Shapiro, Richards, Karabulut, Crawley, Nielsen, Hansen, Bohmann & Mourier",2020,,"Acta Chiropterol.","21(2): 245","Nimba Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",aloysiisabaudiae,Festa,1907,1,"Bol. Mus. Zool. Anat. Comp. Univ. Torino","22(546): 1","Duke of Abruzzi's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",ansorgei,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 318","Ansorge's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",brachypterus,Peters,1851,1,"Ber. Akad. Wiss. Berlin","1851: 758","Short-winged Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",chapini,"J. A. Allen",1917,1,"Bull. Am. Mus. Nat. Hist.","37: 461","Pale Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",condylurus,"A. Smith",1833,1,"S. Afr. Quart. J.","1: 54","Angolan Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",demonstrator,Thomas,1903,1,"Ann. Mag. Nat. Hist.","ser. 7, 12: 504","Mongallan Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",leucogaster,"A. Grandidier",1869,1,"Rev. Mag. Zool.","ser. 2, 21: 337","Grandidier's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",major,Trouessart,1897,1,"Cat. Mamm. Viv. Foss.","1: 146","Lappet-eared Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",midas,Sundevall,1843,1,"Kongl. Svenska Vet.-Akad. Handl. Stockholm","1842: 207","Midas' Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",nanulus,"J. A. Allen",1917,0,"Bull. Am. Mus. Nat. Hist.","37: 477","Dwarf Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",nigeriae,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 319","Nigerian Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",petersoni,"El Rayah",1981,1,"R. Ontario Mus. Life Sci. Occas. Pap.","36: 3","Peterson's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",pumilus,Cretzschmar,1826,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","1: 69","Little Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",russatus,"J. A. Allen",1917,1,"Bull. Am. Mus. Nat. Hist.","37: 458","Russet Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",spurrelli,Dollman,1911,1,"Ann. Mag. Nat. Hist.","ser. 8, 7: 211","Spurrell's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",thersites,Thomas,1903,1,"Ann. Mag. Nat. Hist.","ser. 7, 12: 634","Railer Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",trevori,"J. A. Allen",1917,0,"Bull. Am. Mus. Nat. Hist.","37: 469","Trevor's Free-tailed Bat"
Molossidae,Myopterus,,whitleyi,Scharff,1900,1,"Ann. Mag. Nat. Hist.","ser.7, 6: 569","Bini Winged-mouse Bat"
Molossidae,Otomops,,martiensseni,Matschie,1897,1,"Arch. Naturgesch.","63(1): 84","Large-eared Giant Mastiff Bat"
Nycteridae,Nycteris,"Unassigned - Nycteris",arge,Thomas,1903,0,"Ann. Mag. Nat. Hist.","ser. 7, 12: 633","Bates's Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",gambiensis,"K. Andersen",1912,1,"Ann. Mag. Nat. Hist.","ser. 8, 10: 548","Gambian Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,grandis,Peters,1865,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1865: 358","Large Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,hispida,Schreber,1775,1,"Die Säugethiere","1: 169, 188","Hairy Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",intermedia,Aellen,1959,0,"Arch. Sci. Gen&egrave;ve","12: 218","Intermediate Slit-faced Bat"
Nycteridae,Nycteris,Nycteris,macrotis,Dobson,1876,0,"Monogr. Asiat. Chiroptera","p. 80 [footnote]","Large-eared Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",nana,"K. Andersen",1912,1,"Ann. Mag. Nat. Hist.","ser. 8, 10: 547","Dwarf Slit-faced Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",thebaica,"É. Geoffroy Saint-Hilaire",1813,0,"Ann. Mus. Natn. Hist. Nat. Paris","p. 20","Egyptian Slit-faced Bat"
Pteropodidae,Casinycteris,,ophiodon,Pohle,1943,1,"Sitzb. Ges. Naturf. Fr. Berlin","p. 78","Pohle's Fruit Bat"
Pteropodidae,Eidolon,,helvum,Kerr,1792,1,"In Linnaeus, Anim. Kingdom","1(1): xvii, 91","African Straw-colored Fruit Bat"
Pteropodidae,Epomophorus,,gambianus,Ogilby,1835,1,"Proc. Zool. Soc. Lond.","1835: 100","Gambian Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,pusillus,Peters,1868,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 870","Peters' Lesser Epauletted Fruit Bat"
Pteropodidae,Epomops,,buettikoferi,Matschie,1899,1,"Megachiroptera Berlin Mus.","p. 45","B&uuml;ttikofer&apos;s Epauletted Fruit Bat"
Pteropodidae,Epomops,,franqueti,Tomes,1860,1,"Proc. Zool. Soc. Lond.","1860: 54","Franquet&apos;s Epauletted Fruit Bat"
Pteropodidae,Hypsignathus,,monstrosus,"H. Allen",1861,0,"Proc. Acad. Nat. Sci. Phil.","p. 157","Hammer-headed Fruit Bat"
Pteropodidae,Megaloglossus,,azagnyi,"Nesi, Kadjo & Hassanin",2012,0,"Molecular phylogenetics","66(2013): 134","Western Woermann's Fruit Bat"
Pteropodidae,Megaloglossus,,woermanni,Pagenstecher,1885,0,"Zool. Anz.","8: 245","Woermann's Long-tongued Fruit Bat"
Pteropodidae,Myonycteris,Myonycteris,angolensis,Bocage,1898,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 2, 5: 133","Angolan Soft-furred Fruit Bat"
Pteropodidae,Myonycteris,Myonycteris,leptodon,Andersen,1908,0,"Ann. Mag. Nat. Hist.","ser. 8, 2: 450","Small-eared Collared Fruit Bat"
Pteropodidae,Nanonycteris,,veldkampii,Jentink,1888,1,"Notes Leyden Mus.","10: 51","Veldkamp's Dwarf Epauletted Fruit Bat"
Pteropodidae,Rousettus,Rousettus,aegyptiacus,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 96","Egyptian Rousette"
Pteropodidae,Scotonycteris,,occidentalis,Hayman,1947,0,"Ann. Mag. Nat. Hist.","ser. 11, 13: 503","Hayman's Tear-drop Fruit Bat"
Pteropodidae,Scotonycteris,,zenkeri,Matschie,1894,0,"Sitzb. Ges. Naturf. Fr. Berlin","p. 202","Zenker's Fruit Bat"
Rhinolophidae,Rhinolophus,,alcyone,Temminck,1853,0,"Esquisses Zool. sur la C&ocirc;te de Guine","p. 80","Halcyon Horseshoe Bat"
Rhinolophidae,Rhinolophus,,denti,Thomas,1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 13: 386","Dent's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,fumigatus,R&uuml;ppell,1842,0,"Mus. Senckenbergianum","3: 132","R&uuml;ppell's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,landeri,Martin,1838,0,"Proc. Zool. Soc. Lond.","1837: 101","Lander's Horseshoe Bat"
Rhinopomatidae,Rhinopoma,,microphyllum,Br&uuml;nnich,1782,1,"Dyrenes Historie","1: 50","Greater Mouse-tailed Bat"
Vespertilionidae,Afronycteris,,nanus,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethier","p. 63","Banana Serotine"
Vespertilionidae,Afropipistrellus,,musciculus,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 316","Mouse-like Pipistrelle"
Vespertilionidae,Glauconycteris,,beatrix,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 8: 256","Beatrix Butterfly Bat"
Vespertilionidae,Glauconycteris,,poensis,Gray,1842,1,"Ann. Mag. Nat. Hist.","ser. 1, 10: 258","Abo Butterfly Bat"
Vespertilionidae,Glauconycteris,,superba,Hayman,1939,0,"Ann. Mag. Nat. Hist.","ser. 11, 3: 219","Pied Butterfly Bat"
Vespertilionidae,Glauconycteris,,variegata,Tomes,1861,1,"Proc. Zool. Soc. Lond.","1861: 36","Variegated Butterfly Bat"
Vespertilionidae,Kerivoula,,lanosa,"A. Smith",1847,1,"Illustr. Zool. S. Afr. Mamm.","pl. 50","Lesser Woolly Bat"
Vespertilionidae,Kerivoula,,phalaena,Thomas,1912,0,"Ann. Mag. Nat. Hist.","ser. 8, 10: 281","Spurrell's Woolly Bat"
Vespertilionidae,Laephotis,,capensis,"A. Smith",1829,1,"Zool. J.","4: 435","Cape Serotine"
Vespertilionidae,Mimetillus,,moloneyi,Thomas,1891,1,"Ann. Mag. Nat. Hist.","ser. 6, 7: 528","Moloney's Mimic Bat"
Vespertilionidae,Myotis,Chrysopteron,bocagii,Peters,1870,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 1, 3: 125","Rufous Myotis"
Vespertilionidae,Neoromicia,,guineensis,Bocage,1889,1,"J. Sci. Math. Phys. Nat. Lisboa, ser. 2","1: 6","Guinean Serotine"
Vespertilionidae,Neoromicia,,somalica,Thomas,1901,1,"Ann. Mag. Nat. Hist.","ser. 7, 8: 32","Somali Serotine"
Vespertilionidae,Nycticeinops,,schlieffenii,Peters,1859,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1859: 224","Schlieffen's Twilight Bat"
Vespertilionidae,Pipistrellus,"Unassigned - Pipistrellus",inexspectatus,Aellen,1959,0,"Arch. Sci. Phys. Nat. Geneve","12: 226","Aellen's Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,nanulus,Thomas,1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 14: 198","Tiny Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,rusticus,Tomes,1861,1,"Proc. Zool. Soc. Lond.","1861: 35","Rusty Pipistrelle"
Vespertilionidae,Pseudoromicia,,brunnea,Thomas,1880,1,"Ann. Mag. Nat. Hist.","ser. 5, 6: 165","Dark-brown Serotine"
Vespertilionidae,Pseudoromicia,,rendalli,Thomas,1889,1,"Ann. Mag. Nat. Hist.","ser. 6, 3: 362","Rendall's Serotine"
Vespertilionidae,Pseudoromicia,,tenuipinnis,Peters,1872,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1872: 263","White-winged Serotine"
Vespertilionidae,Scotoecus,,albofuscus,Thomas,1890,1,"Ann. Mus. Civ. Stor. Nat. Genova","29: 84","Light-winged Lesser House Bat"
Vespertilionidae,Scotoecus,,hirundo,"de Winton",1899,1,"Ann. Mag. Nat. Hist.","ser. 7, 4: 355","Dark-winged Lesser House Bat"
Vespertilionidae,Scotophilus,,dinganii,"A. Smith",1833,1,"S. Afr. Quart. J.","2: 59","Yellow-bellied House Bat"
Vespertilionidae,Scotophilus,,leucogaster,Cretzschmar,1830,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","p. 71","White-bellied House Bat"
Vespertilionidae,Scotophilus,,livingstonii,"Brooks & Bickham",2014,0,"Occas. Pap. Mus. Texas Tech Univ.","326: 11","Livingstone's House Bat"
Vespertilionidae,Scotophilus,,nigrita,Schreber,1774,1,"Die S&auml;ugethiere","1: 171","Giant House Bat"
