Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Centronycteris,,centralis,Thomas,1912,0,"Ann. Mag. Nat. Hist.","ser. 8, 10: 638","Thomas's Shaggy Bat"
Emballonuridae,Centronycteris,,maximiliani,"J. Fischer",1829,1,"Synopsis Mamm.","p. 112","Shaggy Bat"
Emballonuridae,Cormura,,brevirostris,Wagner,1843,1,"Arch. Naturgesch.","ser. 9, 1: 367","Chestnut Sac-winged Bat"
Emballonuridae,Cyttarops,,alecto,Thomas,1913,0,"Ann. Mag. Nat. Hist.","ser. 8, 11: 135","Short-eared Bat"
Emballonuridae,Diclidurus,Diclidurus,albus,Wied-Neuwied,1820,0,"Isis von Oken","1819 (4): 1630","Northern Ghost Bat"
Emballonuridae,Diclidurus,Diclidurus,scutatus,Peters,1869,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1869: 400","Lesser Ghost Bat"
Emballonuridae,Peropteryx,,kappleri,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 473","Greater Dog-like Bat"
Emballonuridae,Peropteryx,,leucoptera,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 474","White-winged Dog-like Bat"
Emballonuridae,Peropteryx,,macrotis,Wagner,1843,1,"Arch. Naturgesch.","ser. 9, 1: 367","Lesser Dog-like Bat"
Emballonuridae,Peropteryx,,pallidoptera,"Lim, Engstrom, Reid, Simmons, Voss & Fleck",2010,0,"Am. Mus. Novitates","3686: 3","Pale-winged Doglike Bat"
Emballonuridae,Rhynchonycteris,,naso,Wied-Neuwied,1820,1,"Reise nach Brasilien","1: 248 [footnote]","Proboscis Bat"
Emballonuridae,Saccopteryx,,bilineata,Temminck,1838,1,"Tijdschr. Nat. Gesch. Physiol.","5: 33","Greater Sac-winged Bat"
Emballonuridae,Saccopteryx,,canescens,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 7: 366","Frosted Sac-winged Bat"
Emballonuridae,Saccopteryx,,leptura,Schreber,1774,1,"Die S&auml;ugethiere","pl. LVII, 173","Lesser Sac-winged Bat"
Furipteridae,Amorphochilus,,schnablii,Peters,1877,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1877: 185","Smoky Bat"
Furipteridae,Furipterus,,horrens,"F. Cuvier",1828,1,"Mem. Mus. Natn. Hist. Nat. Paris",16:150,"Thumbless Bat"
Molossidae,Cynomops,,abrasus,Temminck,1827,1,"Monogr. Mamm.","1: 232","Cinnamon Dog-faced Bat"
Molossidae,Cynomops,,greenhalli,Goodwin,1958,0,"Am. Mus. Novitates","1877: 3","Greenhall's Dog-faced Bat"
Molossidae,Cynomops,,kuizha,"Arenas-Viveros, Sánchez-Vendizú, Giraldo & Salazar-Bravo",2021,0,Mammalia,"85(3): 277","Awa Dog-faced Bat"
Molossidae,Cynomops,,milleri,Osgood,1914,1,"Publ. Field Mus. Nat. Hist., Zool. ser.","10(12): 183","Miller's Dog-faced Bat"
Molossidae,Cynomops,,planirostris,Peters,1866,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1865: 575 [footnote]","Southern Dog-faced Bat"
Molossidae,Eumops,,auripendulus,Shaw,1800,1,"Gen. Zool. Syst. Nat. Hist.","1(1): 137","Black Bonneted Bat"
Molossidae,Eumops,,bonariensis,Peters,1874,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1874: 232","Dwarf Bonneted Bat"
Molossidae,Eumops,,chiribaya,"Medina, Gregorin, Zeballos, Zamora & Moras",2014,0,Zootaxa,"3878(1): 27","Chiribaya Bonneted Bat"
Molossidae,Eumops,,glaucinus,Wagner,1843,1,"Arch. Naturgesch.","9(1): 368","Wagner's Bonneted Bat"
Molossidae,Eumops,,hansae,Sanborn,1932,0,"J. Mammal.","13: 356","Sanborn's Bonneted Bat"
Molossidae,Eumops,,maurus,Thomas,1901,1,"Ann. Mag. Nat. Hist.","ser. 7, 8 (44): 141","Guianan Bonneted Bat"
Molossidae,Eumops,,nanus,Miller,1900,1,"Ann. Mag. Nat. Hist.","ser. 7, 6: 470","Dwarf Bonneted Bat"
Molossidae,Eumops,,perotis,Schinz,1821,1,"In Cuvier, Das Thierreich","1: 870","Greater Bonneted Bat"
Molossidae,Eumops,,wilsoni,"Baker, McDonough, Swier, Larsen, Carrera & Ammerman",2009,0,"Acta Chiropterol.","11(1): 2","Wilson&apos;s Bonneted Bat"
Molossidae,Molossops,Molossops,temminckii,Burmeister,1854,1,"Syst. Uebers. Thiere Bras.","p. 72","Dwarf Dog-faced Bat"
Molossidae,Molossus,,alvarezi,"Gonzalez-Ruiz, Ramirez-Pulido & Arroyo-Cabrales",2011,0,"Mamm. Biol.","76(4): 464","Alvarez's Mastiff Bat"
Molossidae,Molossus,,coibensis,"J. A. Allen",1904,0,"Bull. Amer. Mus. Nat. Hist.","20 (20): 227","Coiban Mastiff Bat"
Molossidae,Molossus,,molossus,Pallas,1766,1,"Misc. Zool.","p. 49-50","Pallas's Mastiff Bat"
Molossidae,Molossus,,rufus,"É. Geoffroy Saint-Hilaire",1805,0,"Ann. Mus. Nat. Hist. Paris","6: 155","Black Mastiff Bat"
Molossidae,Mormopterus,Mormopterus,kalinowskii,Thomas,1893,1,"Proc. Zool. Soc. Lond.","1893: 334","Kalinowski's Mastiff Bat"
Molossidae,Mormopterus,Mormopterus,phrudus,Handley,1956,0,"Proc. Biol. Soc. Wash.","69: 197","Incan Little Mastiff Bat"
Molossidae,Nyctinomops,,aurispinosus,Peale,1849,1,"Mammalia, in Repts. U.S. Expl. Surv.","8: 21","Peale's Free-tailed Bat"
Molossidae,Nyctinomops,,laticaudatus,"É. Geoffroy Saint-Hilaire",1805,1,"Ann. Mus. Natn. Hist. Nat. Paris","6: 156","Broad-eared Free-tailed Bat"
Molossidae,Promops,,centralis,Thomas,1915,0,"Ann. Mag. Nat. Hist.","ser. 8, 16: 62","Big Crested Mastiff Bat"
Molossidae,Promops,,davisoni,Thomas,1921,0,"Ann. Mag. Nat. Hist.","ser. 9, 8: 139","Davison's Crested Mastiff Bat"
Molossidae,Promops,,nasutus,Spix,1823,1,"Sim. Vespert. Brasil.","p. 60","Brown Mastiff Bat"
Molossidae,Tadarida,,brasiliensis,"I. Geoffroy Saint-Hilaire",1824,1,"Ann. Sci. Nat. Zool.","1: 343","Brazilian Free-tailed Bat; Mexican Free-tailed Bat"
Molossidae,Tomopeas,,ravum,Miller,1900,0,"Ann. Mag. Nat. Hist.","ser. 7, 6: 571","Blunt-eared Bat"
Mormoopidae,Mormoops,,megalophylla,Peters,1864,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1864: 381","Peters's Ghost-faced Bat"
Mormoopidae,Pteronotus,Pteronotus,davyi,Gray,1838,0,"Mag. Zool. Bot.","2: 500","Davy's Naked-backed Bat"
Mormoopidae,Pteronotus,Phyllodia,fuscus,"J.A. Allen",1911,1,"Bull. Am. Mus. Nat. Hist.","30(10): 262","Dusky Mustached Bat"
Mormoopidae,Pteronotus,Pteronotus,gymnonotus,"J.A. Wagner",1843,1,"Arch. Naturgesch.","9(1): 367","Big Naked-backed Bat"
Mormoopidae,Pteronotus,"Unnamed - Pteronotus",personatus,"J.A. Wagner",1843,1,"Arch. Naturgesch.","9(1): 367","Wagner's Mustached Bat"
Noctilionidae,Noctilio,Dirias,albiventris,Desmarest,1818,0,"Nouv. Dict. Hist. Nat","Nouv. ed., 23: 15","Lesser Bulldog Bat"
Noctilionidae,Noctilio,Noctilio,leporinus,Linnaeus,1758,1,"Syst. Nat","10th ed., 1: 32","Greater Bulldog Bat"
Phyllostomidae,Anoura,,aequatoris,Lönnberg,1921,1,"Arkiv. Zool., Stockholm","14(4): 65","Ecuadorian Tailless Bat"
Phyllostomidae,Anoura,,caudifer,"É. Geoffroy Saint-Hilaire",1818,1,"Mem. Mus. Natn. Hist. Nat. Paris","4: 418","Tailed Tailless Bat"
Phyllostomidae,Anoura,,cultrata,Handley,1960,0,"Proc. U.S. Natl. Mus.","112: 463","Handley's Tailless Bat"
Phyllostomidae,Anoura,,fistulata,"Muchhala, Mena & Albuja",2005,0,"J. Mammal.","86(3): 458","Tube-lipped Tailless Bat"
Phyllostomidae,Anoura,,geoffroyi,Gray,1838,0,"Mag. Zool. Bot.","2: 490","Geoffroy's Tailless Bat"
Phyllostomidae,Anoura,,javieri,"Pacheco, S&aacute;nchez-Vendiz&uacute; & Solari",2018,0,"Acta Chiropterol.","20(1): 33","Javier's Tailless Bat"
Phyllostomidae,Anoura,,latidens,Handley,1984,0,"Proc. Biol. Soc. Wash.","97(3): 513","Broad-toothed Tailless Bat"
Phyllostomidae,Anoura,,peruana,Tschudi,1844,1,"Untersuchungen über die Fauna Peruana ",1844:71,"Peruvian Tailless Bat"
Phyllostomidae,Artibeus,,aequatorialis,"K. Andersen",1906,0,"Ann. Mag. Nat. Hist.","ser. 7, 18: 421","Equatorial Fruit-eating Bat"
Phyllostomidae,Artibeus,,concolor,Peters,1865,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1865: 357","Brown Fruit-eating Bat"
