Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Cistugidae,Cistugo,,lesueuri,Roberts,1919,0,"Ann. Transv. Mus.","6: 112","Lesueur's Wing-gland Bat"
Cistugidae,Cistugo,,seabrae,Thomas,1912,0,"Ann. Mag. Nat. Hist.","ser. 8, 10: 205","Angolan Wing-gland Bat"
Emballonuridae,Taphozous,,mauritianus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 127","Mauritian Tomb Bat"
Hipposideridae,Hipposideros,,caffer,Sundevall,1846,1,"&Ouml;fv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Sundevall's Roundleaf Bat"
Hipposideridae,Macronycteris,,vittata,Peters,1852,1,"Naturwiss. Reise Mossambique, S&auml;ugeth.","p. 32","Striped Roundleaf Bat"
Miniopteridae,Miniopterus,,fraterculus,"Thomas & Schwann",1906,0,"Proc. Zool. Soc. Lond.","1906: 162","Lesser Long-fingered Bat"
Miniopteridae,Miniopterus,,natalensis,"A. Smith",1834,1,"S. Afr. Quart. J.",2:59,"Natal Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",ansorgei,Thomas,1913,1,"Ann. Mag. Nat. Hist.","ser. 8, 11: 318","Ansorge's Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",condylurus,"A. Smith",1833,1,"S. Afr. Quart. J.","1: 54","Angolan Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",midas,Sundevall,1843,1,"Kongl. Svenska Vet.-Akad. Handl. Stockholm","1842: 207","Midas' Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",pumilus,Cretzschmar,1826,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","1: 69","Little Free-tailed Bat"
Molossidae,Nyctinomus,,aegyptiacus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 128","Egyptian Free-tailed Bat"
