Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Balantiopteryx,,io,Thomas,1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 13: 252","Thomas's Sac-winged Bat"
Emballonuridae,Balantiopteryx,,plicata,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 476","Gray Sac-winged Bat"
Emballonuridae,Centronycteris,,centralis,Thomas,1912,0,"Ann. Mag. Nat. Hist.","ser. 8, 10: 638","Thomas's Shaggy Bat"
Emballonuridae,Diclidurus,Diclidurus,albus,Wied-Neuwied,1820,0,"Isis von Oken","1819 (4): 1630","Northern Ghost Bat"
Emballonuridae,Peropteryx,,kappleri,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 473","Greater Dog-like Bat"
Emballonuridae,Peropteryx,,macrotis,Wagner,1843,1,"Arch. Naturgesch.","ser. 9, 1: 367","Lesser Dog-like Bat"
Emballonuridae,Rhynchonycteris,,naso,Wied-Neuwied,1820,1,"Reise nach Brasilien","1: 248 [footnote]","Proboscis Bat"
Emballonuridae,Saccopteryx,,bilineata,Temminck,1838,1,"Tijdschr. Nat. Gesch. Physiol.","5: 33","Greater Sac-winged Bat"
Emballonuridae,Saccopteryx,,leptura,Schreber,1774,1,"Die S&auml;ugethiere","pl. LVII, 173","Lesser Sac-winged Bat"
Molossidae,Cynomops,,mexicanus,"Jones & Genoways",1967,1,"Proc. Biol. Soc. Wash.","80: 207","Mexican Dog-faced Bat"
Molossidae,Eumops,,auripendulus,Shaw,1800,1,"Gen. Zool. Syst. Nat. Hist.","1(1): 137","Black Bonneted Bat"
Molossidae,Eumops,,ferox,"Gundlach <i>in</i> Peters",1861,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin ","1861, pt. 1: 149","Wild Bonneted Bat"
Molossidae,Eumops,,hansae,Sanborn,1932,0,"J. Mammal.","13: 356","Sanborn's Bonneted Bat"
Molossidae,Eumops,,nanus,Miller,1900,1,"Ann. Mag. Nat. Hist.","ser. 7, 6: 470","Dwarf Bonneted Bat"
Molossidae,Eumops,,perotis,Schinz,1821,1,"In Cuvier, Das Thierreich","1: 870","Greater Bonneted Bat"
Molossidae,Eumops,,underwoodi,Goodwin,1940,0,"Am. Mus. Novitates","1075: 2","Underwood's Bonneted Bat"
Molossidae,Molossus,,alvarezi,"Gonzalez-Ruiz, Ramirez-Pulido & Arroyo-Cabrales",2011,0,"Mamm. Biol.","76(4): 464","Alvarez's Mastiff Bat"
Molossidae,Molossus,,aztecus,Saussure,1860,0,"Rev. Mag. Zool. Paris, Ser. 2","12: 285","Aztec Mastiff Bat"
Molossidae,Molossus,,coibensis,"J. A. Allen",1904,0,"Bull. Amer. Mus. Nat. Hist.","20 (20): 227","Coiban Mastiff Bat"
Molossidae,Molossus,,molossus,Pallas,1766,1,"Misc. Zool.","p. 49-50","Pallas's Mastiff Bat"
Molossidae,Molossus,,sinaloae,"J. A. Allen",1906,0,"Bull. Am. Mus. Nat. Hist.","22: 236","Sinaloan Mastiff Bat"
Molossidae,Nyctinomops,,aurispinosus,Peale,1849,1,"Mammalia, in Repts. U.S. Expl. Surv.","8: 21","Peale's Free-tailed Bat"
Molossidae,Nyctinomops,,femorosaccus,Merriam,1889,1,"N. Am. Fauna","2: 23","Pocketed Free-tailed Bat"
Molossidae,Nyctinomops,,laticaudatus,"É. Geoffroy Saint-Hilaire",1805,1,"Ann. Mus. Natn. Hist. Nat. Paris","6: 156","Broad-eared Free-tailed Bat"
Molossidae,Nyctinomops,,macrotis,Gray,1839,1,"Ann. Nat. Hist.","4: 5","Big Free-tailed Bat"
Molossidae,Promops,,centralis,Thomas,1915,0,"Ann. Mag. Nat. Hist.","ser. 8, 16: 62","Big Crested Mastiff Bat"
Molossidae,Tadarida,,brasiliensis,"I. Geoffroy Saint-Hilaire",1824,1,"Ann. Sci. Nat. Zool.","1: 343","Brazilian Free-tailed Bat; Mexican Free-tailed Bat"
Mormoopidae,Mormoops,,megalophylla,Peters,1864,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1864: 381","Peters's Ghost-faced Bat"
Mormoopidae,Pteronotus,Pteronotus,fulvus,Thomas,1892,1,"Ann. Mag. Nat. Hist.","ser. 6, 59: 410","Tawny Naked-backed Bat"
Mormoopidae,Pteronotus,Pteronotus,gymnonotus,"J.A. Wagner",1843,1,"Arch. Naturgesch.","9(1): 367","Big Naked-backed Bat"
Mormoopidae,Pteronotus,Phyllodia,mesoamericanus,Smith,1972,0,"Misc. Pubs. Univ. Kansas Mus. Nat. Hist.","56: 71","Mesoamerican mustached bat"
Mormoopidae,Pteronotus,Phyllodia,mexicanus,Miller,1902,1,"Proc. Acad. Nat. Sci. Philadelphia","54(1902): 401","Mexican Mustached Bat"
Mormoopidae,Pteronotus,"Unnamed - Pteronotus",psilotis,Dobson,1878,1,"Catalogue of the Chiroptera in the Collection of the British Museum","p. 451","Tehuantepec Mustached Bat"
Natalidae,Natalus,,mexicanus,Miller,1902,0,"Proc. Acad. Nat. Sci. Philadelphia","54(1902): 399","Mexican Greater Funnel-eared Bat"
Noctilionidae,Noctilio,Dirias,albiventris,Desmarest,1818,0,"Nouv. Dict. Hist. Nat","Nouv. ed., 23: 15","Lesser Bulldog Bat"
Noctilionidae,Noctilio,Noctilio,leporinus,Linnaeus,1758,1,"Syst. Nat","10th ed., 1: 32","Greater Bulldog Bat"
