Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Taphozous,,mauritianus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 127","Mauritian Tomb Bat"
Hipposideridae,Hipposideros,,caffer,Sundevall,1846,1,"&Ouml;fv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Sundevall's Roundleaf Bat"
Miniopteridae,Miniopterus,,fraterculus,"Thomas & Schwann",1906,0,"Proc. Zool. Soc. Lond.","1906: 162","Lesser Long-fingered Bat"
Miniopteridae,Miniopterus,,natalensis,"A. Smith",1834,1,"S. Afr. Quart. J.",2:59,"Natal Long-fingered Bat"
Molossidae,Mops,"Unassigned - Mops",condylurus,"A. Smith",1833,1,"S. Afr. Quart. J.","1: 54","Angolan Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",midas,Sundevall,1843,1,"Kongl. Svenska Vet.-Akad. Handl. Stockholm","1842: 207","Midas' Free-tailed Bat"
Molossidae,Mops,"Unassigned - Mops",pumilus,Cretzschmar,1826,1,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","1: 69","Little Free-tailed Bat"
Molossidae,Nyctinomus,,aegyptiacus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 128","Egyptian Free-tailed Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",thebaica,"É. Geoffroy Saint-Hilaire",1813,0,"Ann. Mus. Natn. Hist. Nat. Paris","p. 20","Egyptian Slit-faced Bat"
Pteropodidae,Epomophorus,,crypturus,Peters,1852,0,"Naturwiss. Reise nach Mossambique, S&auml;ug.","p. 26","Peters&apos;s Epauletted Fruit Bat"
Pteropodidae,Epomophorus,,wahlbergi,Sundevall,1846,1,"Ofv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm","3(4): 118","Wahlberg&apos;s Epauletted Fruit Bat"
Rhinolophidae,Rhinolophus,,blasii,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1866: 17","Blasius' Horseshoe Bat"
Rhinolophidae,Rhinolophus,,clivosus,Cretzschmar,1828,0,"In R&uuml;ppell, Atlas Reise Nordl. Afr., Zool. S&auml;ugeth.","p. 47","Geoffroy's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,darlingi,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 15: 70","Darling's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,simulator,"K. Andersen",1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 14: 384","Bushveld Horseshoe Bat"
Rhinonycteridae,Cloeotis,,percivali,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 8: 28","Percival's Short-eared Trident Bat"
Vespertilionidae,Afronycteris,,nanus,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethier","p. 63","Banana Serotine"
Vespertilionidae,Cnephaeus,,hottentotus,"A. Smith",1833,1,"S. Afr. J.","2: 59","Long-tailed Serotine"
Vespertilionidae,Kerivoula,,argentata,Tomes,1861,0,"Proc. Zool. Soc. Lond.","1861: 32","Damara Woolly Bat"
Vespertilionidae,Kerivoula,,lanosa,"A. Smith",1847,1,"Illustr. Zool. S. Afr. Mamm.","pl. 50","Lesser Woolly Bat"
Vespertilionidae,Laephotis,,capensis,"A. Smith",1829,1,"Zool. J.","4: 435","Cape Serotine"
Vespertilionidae,Myotis,Chrysopteron,bocagii,Peters,1870,1,"J. Sci. Math. Phys. Nat. Lisboa","ser. 1, 3: 125","Rufous Myotis"
Vespertilionidae,Myotis,Chrysopteron,tricolor,Temminck,1832,1,"In Smuts, Enumer. Mamm. Capensium","p. 106","Temminck's Myotis"
Vespertilionidae,Myotis,Chrysopteron,welwitschii,Gray,1866,1,"Proc. Zool. Soc. Lond.","1866: 211","Welwitsch's Myotis"
Vespertilionidae,Neoromicia,,anchietae,Seabra,1900,1,"J. Sci. Math. Phys. Nat. Lisboa, ser. 2","6: 26","Anchieta's Serotine"
Vespertilionidae,Neoromicia,,hlandzeni,"Taylor, Strydom, Richards, Markotter, Toussaint, Kearney, Cotterill, Howard, Weier, Keith, Neef, Mamba, Magagula & Monadjem",2022,0,"Zool. J. Linn. Soc.","196: 1578, 1583","Lowveld Serotine"
Vespertilionidae,Neoromicia,,zuluensis,Roberts,1924,1,"Ann. Transv. Mus.","10(2): 60, fig. 1","Zulu Serotine"
Vespertilionidae,Nycticeinops,,schlieffenii,Peters,1859,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1859: 224","Schlieffen's Twilight Bat"
Vespertilionidae,Pipistrellus,Pipistrellus,hesperidus,Temminck,1840,1,"Monograph. Mammal... Mus&eacute;es de l'Europe","2: 211","Dusky Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,rusticus,Tomes,1861,1,"Proc. Zool. Soc. Lond.","1861: 35","Rusty Pipistrelle"
Vespertilionidae,Scotophilus,,dinganii,"A. Smith",1833,1,"S. Afr. Quart. J.","2: 59","Yellow-bellied House Bat"
Vespertilionidae,Scotophilus,,viridis,Peters,1852,1,"Reise nach Mossambique, S&auml;ugethiere","p. 67","Green House Bat"
