Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Emballonuridae,Taphozous,,nudiventris,Cretzschmar,1830,0,"In R&uuml;ppell, Atlas Reise N&ouml;rdl. Afr., Zool. S&auml;ugeth.","p. 70","Naked-rumped Tomb Bat"
Emballonuridae,Taphozous,,perforatus,"É. Geoffroy Saint-Hilaire",1818,0,"Descrip. de L'Egypte","2: 126","Egyptian Tomb Bat"
Hipposideridae,Asellia,,tridens,"É. Geoffroy Saint-Hilaire",1813,1,"Ann. Mus. Natn. Hist. Nat. Paris","20: 265, pl. 5","Geoffroy's Trident Roundleaf Bat"
Miniopteridae,Miniopterus,,schreibersii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use, Hanau","p. 6, 41","Schreiber's Long-fingered Bat"
Molossidae,Tadarida,,teniotis,Rafinesque,1814,1,"Pr&iacute;cis Som.","p. 12","European Free-tailed Bat"
Nycteridae,Nycteris,"Unnamed - Nycteris",thebaica,"É. Geoffroy Saint-Hilaire",1813,0,"Ann. Mus. Natn. Hist. Nat. Paris","p. 20","Egyptian Slit-faced Bat"
Pteropodidae,Rousettus,Rousettus,aegyptiacus,"É. Geoffroy Saint-Hilaire",1810,1,"Ann. Mus. Natn. Hist. Nat. Paris","15: 96","Egyptian Rousette"
Rhinolophidae,Rhinolophus,,blasii,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1866: 17","Blasius' Horseshoe Bat"
Rhinolophidae,Rhinolophus,,clivosus,Cretzschmar,1828,0,"In R&uuml;ppell, Atlas Reise Nordl. Afr., Zool. S&auml;ugeth.","p. 47","Geoffroy's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,euryale,Blasius,1853,0,"Arch. Naturgesch.","19(1): 49","Mediterranean Horseshoe Bat"
Rhinolophidae,Rhinolophus,,ferrumequinum,Schreber,1774,1,"Die S&auml;ugethiere","1: 174, pl. 62","Greater Horseshoe Bat"
Rhinolophidae,Rhinolophus,,hipposideros,André,1797,1,"Der Zoologe","1 (5-8): 65","Lesser Horseshoe Bat"
Rhinolophidae,Rhinolophus,,mehelyi,Matschie,1901,0,"Sitzb. Ges. Naturf. Fr. Berlin","p. 225","Mehely's Horseshoe Bat"
Rhinopomatidae,Rhinopoma,,cystops,Thomas,1903,0,"Ann. Mag. Nat. Hist.","ser. 7, 11: 496","Big-eyed Mouse-tailed Bat"
Rhinopomatidae,Rhinopoma,,hardwickii,Gray,1831,0,"Zool. Misc.","1: 37","Lesser Mouse-tailed Bat"
Rhinopomatidae,Rhinopoma,,microphyllum,Br&uuml;nnich,1782,1,"Dyrenes Historie","1: 50","Greater Mouse-tailed Bat"
Vespertilionidae,Barbastella,,leucomelas,Cretzschmar,1830,1,"In Ruppell, Atlas Reise Nordl. Afr., Zool. S&auml;ugeth.","p. 73","Eastern Barbastelle"
Vespertilionidae,Cnephaeus,,bottae,Peters,1869,1,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1869: 406","Botta's Serotine"
Vespertilionidae,Cnephaeus,,serotinus,Schreber,1774,1,"Die S&auml;ugethiere","1: 167, pl. LIIL","Common Serotine"
Vespertilionidae,Hypsugo,,ariel,Thomas,1904,1,"Ann. Mag. Nat. Hist.","ser. 7, 14: 157","Fairy Pipistrelle"
Vespertilionidae,Hypsugo,,savii,Bonaparte,1837,1,"Fauna Ital.","1: fasc. 20","Savi's Pipistrelle"
Vespertilionidae,Myotis,Myotis,blythii,Tomes,1857,1,"Proc. Zool. Soc. Lond.","1857: 53","Lesser Mouse-eared Myotis"
Vespertilionidae,Myotis,Myotis,capaccinii,Bonaparte,1837,1,"Fauna Ital.","1: fasc. 20","Long-fingered Myotis"
Vespertilionidae,Myotis,Chrysopteron,emarginatus,"É. Geoffroy Saint-Hilaire",1806,1,"Ann. Mus. Natn. Hist. Nat. Paris","8: 198","Geoffroy's Myotis"
Vespertilionidae,Myotis,Myotis,myotis,Borkhausen,1797,1,"Deutsche Fauna","1: 80","Mouse-eared Myotis"
Vespertilionidae,Nyctalus,,noctula,Schreber,1774,1,"Die S&auml;ugethiere","1: 166",Noctule
Vespertilionidae,Otonycteris,,hemprichii,Peters,1859,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1859: 223","Hemprich's Desert Bat"
Vespertilionidae,Pipistrellus,Pipistrellus,kuhlii,Kuhl,1817,1,"Die Deutschen Flederm&auml;use, Hanau","p. 6, 55","Kuhl's Pipistrelle"
Vespertilionidae,Pipistrellus,Pipistrellus,pipistrellus,Schreber,1774,1,"Die S&auml;ugethiere","1: 167","Common Pipistrelle"
Vespertilionidae,Vansonia,,rueppellii,"J. Fischer",1829,1,"Synopsis Mamm.","p. 109","R&uuml;ppell's Pipistrelle"
